time,status,score
2025-12-27 03:05:12,ANORMAL HAREKET,3311.0
2025-12-27 03:05:13,Sistem aktif (normal),0.0
2025-12-27 03:05:23,ANORMAL HAREKET,46790.0
2025-12-27 03:05:23,Sistem aktif (normal),0.0
2025-12-27 03:05:24,ANORMAL HAREKET,8189.0
2025-12-27 03:05:24,ANORMAL HAREKET,42183.0
2025-12-27 03:05:24,ANORMAL HAREKET,106371.0
2025-12-27 03:05:24,ANORMAL HAREKET,112212.0
2025-12-27 03:05:24,ANORMAL HAREKET,108730.0
2025-12-27 03:05:24,ANORMAL HAREKET,101308.0
2025-12-27 03:05:24,ANORMAL HAREKET,67713.0
2025-12-27 03:05:24,ANORMAL HAREKET,38445.0
2025-12-27 03:05:24,ANORMAL HAREKET,48562.0
2025-12-27 03:05:25,ANORMAL HAREKET,46709.0
2025-12-27 03:05:25,ANORMAL HAREKET,9522.0
2025-12-27 03:05:25,ANORMAL HAREKET,28193.0
2025-12-27 03:05:25,ANORMAL HAREKET,31206.0
2025-12-27 03:05:25,ANORMAL HAREKET,3957.0
2025-12-27 03:05:25,ANORMAL HAREKET,7186.0
2025-12-27 03:05:25,ANORMAL HAREKET,30951.0
2025-12-27 03:05:25,ANORMAL HAREKET,44563.0
2025-12-27 03:05:25,ANORMAL HAREKET,22309.0
2025-12-27 03:05:25,ANORMAL HAREKET,7407.0
2025-12-27 03:05:25,ANORMAL HAREKET,16068.0
2025-12-27 03:05:25,ANORMAL HAREKET,17613.0
2025-12-27 03:05:26,ANORMAL HAREKET,8806.0
2025-12-27 03:05:26,ANORMAL HAREKET,36646.0
2025-12-27 03:05:26,ANORMAL HAREKET,70216.0
2025-12-27 03:05:26,ANORMAL HAREKET,84236.0
2025-12-27 03:05:26,ANORMAL HAREKET,87968.0
2025-12-27 03:05:26,ANORMAL HAREKET,69492.0
2025-12-27 03:05:26,ANORMAL HAREKET,63245.0
2025-12-27 03:05:26,ANORMAL HAREKET,56826.0
2025-12-27 03:05:26,ANORMAL HAREKET,35089.0
2025-12-27 03:05:26,ANORMAL HAREKET,7322.0
2025-12-27 03:05:30,ANORMAL HAREKET,8138.0
2025-12-27 03:05:30,ANORMAL HAREKET,30526.0
2025-12-27 03:05:30,ANORMAL HAREKET,53105.0
2025-12-27 03:05:30,ANORMAL HAREKET,59282.0
2025-12-27 03:05:30,ANORMAL HAREKET,58047.0
2025-12-27 03:05:30,ANORMAL HAREKET,54490.0
2025-12-27 03:05:30,ANORMAL HAREKET,45214.0
2025-12-27 03:05:31,ANORMAL HAREKET,43957.0
2025-12-27 03:05:31,ANORMAL HAREKET,44465.0
2025-12-27 03:05:31,ANORMAL HAREKET,32352.0
2025-12-27 03:05:31,ANORMAL HAREKET,23772.0
2025-12-27 03:05:31,ANORMAL HAREKET,13057.0
2025-12-27 03:05:31,ANORMAL HAREKET,28260.0
2025-12-27 03:05:31,ANORMAL HAREKET,28077.0
2025-12-27 03:05:31,ANORMAL HAREKET,30539.0
2025-12-27 03:05:31,ANORMAL HAREKET,32180.0
2025-12-27 03:05:31,ANORMAL HAREKET,26306.0
2025-12-27 03:05:31,ANORMAL HAREKET,22187.0
2025-12-27 03:05:31,ANORMAL HAREKET,3074.0
2025-12-27 03:05:33,ANORMAL HAREKET,21738.0
2025-12-27 03:05:33,ANORMAL HAREKET,34198.0
2025-12-27 03:05:33,ANORMAL HAREKET,33590.0
2025-12-27 03:05:33,ANORMAL HAREKET,31660.0
2025-12-27 03:05:33,ANORMAL HAREKET,23278.0
2025-12-27 03:05:33,ANORMAL HAREKET,19928.0
2025-12-27 03:05:33,ANORMAL HAREKET,5140.0
2025-12-27 03:05:33,ANORMAL HAREKET,6794.0
2025-12-27 03:05:33,Sistem aktif (normal),0.0
2025-12-27 03:05:34,ANORMAL HAREKET,10982.0
2025-12-27 03:05:34,ANORMAL HAREKET,30866.0
2025-12-27 03:05:34,ANORMAL HAREKET,40534.0
2025-12-27 03:05:34,ANORMAL HAREKET,40180.0
2025-12-27 03:05:34,ANORMAL HAREKET,59133.0
2025-12-27 03:05:34,ANORMAL HAREKET,56198.0
2025-12-27 03:05:34,ANORMAL HAREKET,54306.0
2025-12-27 03:05:34,ANORMAL HAREKET,62868.0
2025-12-27 03:05:34,ANORMAL HAREKET,72276.0
2025-12-27 03:05:34,ANORMAL HAREKET,68322.0
2025-12-27 03:05:34,ANORMAL HAREKET,42667.0
2025-12-27 03:05:34,ANORMAL HAREKET,29354.0
2025-12-27 03:05:34,ANORMAL HAREKET,6268.0
2025-12-27 03:05:35,ANORMAL HAREKET,6072.0
2025-12-27 03:05:35,ANORMAL HAREKET,27070.0
2025-12-27 03:05:35,ANORMAL HAREKET,64787.0
2025-12-27 03:05:35,ANORMAL HAREKET,90724.0
2025-12-27 03:05:35,ANORMAL HAREKET,102877.0
2025-12-27 03:05:35,ANORMAL HAREKET,122473.0
2025-12-27 03:05:35,ANORMAL HAREKET,137990.0
2025-12-27 03:05:35,ANORMAL HAREKET,132948.0
2025-12-27 03:05:35,ANORMAL HAREKET,114381.0
2025-12-27 03:05:35,ANORMAL HAREKET,65254.0
2025-12-27 03:05:35,ANORMAL HAREKET,24980.0
2025-12-27 03:05:36,ANORMAL HAREKET,28912.0
2025-12-27 03:05:36,ANORMAL HAREKET,8978.0
2025-12-27 03:05:36,ANORMAL HAREKET,48146.0
2025-12-27 03:05:36,ANORMAL HAREKET,112788.0
2025-12-27 03:05:36,ANORMAL HAREKET,144406.0
2025-12-27 03:05:36,ANORMAL HAREKET,131723.0
2025-12-27 03:05:36,ANORMAL HAREKET,77404.0
2025-12-27 03:05:36,ANORMAL HAREKET,59854.0
2025-12-27 03:05:36,ANORMAL HAREKET,39016.0
2025-12-27 03:05:36,ANORMAL HAREKET,24168.0
2025-12-27 03:05:36,ANORMAL HAREKET,45941.0
2025-12-27 03:05:37,ANORMAL HAREKET,47879.0
2025-12-27 03:05:37,ANORMAL HAREKET,40934.0
2025-12-27 03:05:37,ANORMAL HAREKET,35581.0
2025-12-27 03:05:37,ANORMAL HAREKET,7769.0
2025-12-27 03:05:37,ANORMAL HAREKET,17185.0
2025-12-27 03:05:37,ANORMAL HAREKET,55043.0
2025-12-27 03:05:37,ANORMAL HAREKET,65825.0
2025-12-27 03:05:38,ANORMAL HAREKET,74067.0
2025-12-27 03:05:38,ANORMAL HAREKET,71656.0
2025-12-27 03:05:38,ANORMAL HAREKET,64761.0
2025-12-27 03:05:38,ANORMAL HAREKET,12042.0
2025-12-27 03:05:38,ANORMAL HAREKET,1794.0
2025-12-27 03:05:38,ANORMAL HAREKET,22435.0
2025-12-27 03:05:38,ANORMAL HAREKET,72901.0
2025-12-27 03:05:38,ANORMAL HAREKET,90590.0
2025-12-27 03:05:38,ANORMAL HAREKET,85019.0
2025-12-27 03:05:38,ANORMAL HAREKET,97016.0
2025-12-27 03:05:39,ANORMAL HAREKET,111907.0
2025-12-27 03:05:39,ANORMAL HAREKET,85298.0
2025-12-27 03:05:39,ANORMAL HAREKET,58479.0
2025-12-27 03:05:39,ANORMAL HAREKET,21664.0
2025-12-27 03:05:39,ANORMAL HAREKET,11746.0
2025-12-27 03:05:39,ANORMAL HAREKET,12777.0
2025-12-27 03:05:39,ANORMAL HAREKET,10626.0
2025-12-27 03:05:39,ANORMAL HAREKET,50458.0
2025-12-27 03:05:39,ANORMAL HAREKET,100593.0
2025-12-27 03:05:39,ANORMAL HAREKET,101579.0
